                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.52376,                0.86754,                 1.0013,                0.74035,                0.61996,                0.67024,                0.63865,                0.28973,                0.52905,                 0.8466,              0.0089605,              0.0089605,              0.0089605
                    108,                0.52172,                0.86639,                      1,                 0.7572,                0.62037,                0.67005,                0.63845,                0.28977,                0.52841,                0.84654,              0.0089506,              0.0089506,              0.0089506
                    109,                0.52093,                0.86516,                 0.9986,                0.75066,                0.61742,                0.66956,                0.63781,                0.28932,                0.52872,                0.84594,              0.0089407,              0.0089407,              0.0089407
                    110,                0.52188,                0.86562,                 1.0013,                0.73899,                0.62532,                0.67087,                0.63896,                0.28917,                0.52855,                0.84566,              0.0089308,              0.0089308,              0.0089308
                    111,                0.52039,                0.86306,                 1.0004,                0.75331,                0.62073,                0.67182,                0.63983,                 0.2892,                0.52846,                0.84592,              0.0089209,              0.0089209,              0.0089209
                    112,                0.52116,                 0.8648,                0.99986,                0.74913,                0.62479,                 0.6735,                0.64148,                0.28911,                0.52857,                0.84605,               0.008911,               0.008911,               0.008911
                    113,                0.51916,                0.86677,                0.99916,                0.73915,                0.62659,                0.67208,                0.64016,                0.28894,                0.52756,                0.84611,              0.0089011,              0.0089011,              0.0089011
                    114,                0.51841,                0.86352,                0.99952,                0.74535,                0.62317,                0.67263,                 0.6406,                0.28903,                0.52686,                0.84614,              0.0088912,              0.0088912,              0.0088912
                    115,                 0.5209,                0.86432,                 1.0003,                0.74527,                0.62559,                0.67386,                0.64194,                0.28916,                0.52637,                0.84617,              0.0088813,              0.0088813,              0.0088813
                    116,                0.52062,                0.86533,                0.99964,                0.74007,                0.62791,                0.67533,                0.64301,                0.28915,                0.52558,                0.84601,              0.0088714,              0.0088714,              0.0088714
                    117,                0.51974,                0.86289,                0.99902,                0.74403,                0.62323,                0.67447,                0.64191,                0.28923,                0.52537,                0.84609,              0.0088615,              0.0088615,              0.0088615
                    118,                0.52091,                0.86582,                 1.0002,                0.73512,                0.63072,                0.67402,                0.64183,                0.28926,                0.52528,                0.84614,              0.0088516,              0.0088516,              0.0088516
                    119,                0.52011,                 0.8592,                0.99818,                0.74297,                0.62828,                0.67638,                0.64415,                0.28912,                0.52535,                0.84608,              0.0088417,              0.0088417,              0.0088417
                    120,                0.51938,                0.86174,                 1.0003,                0.75584,                0.62067,                0.67694,                0.64452,                0.28922,                0.52592,                0.84632,              0.0088318,              0.0088318,              0.0088318
                    121,                 0.5198,                0.86031,                0.99874,                0.74741,                0.62949,                0.67719,                0.64475,                0.28927,                0.52581,                0.84643,              0.0088219,              0.0088219,              0.0088219
                    122,                0.51969,                0.86151,                0.99987,                0.74921,                0.62628,                0.67658,                0.64379,                0.28951,                0.52623,                0.84668,               0.008812,               0.008812,               0.008812
                    123,                0.51972,                0.85781,                0.99895,                0.74703,                0.62547,                0.67644,                0.64349,                0.28945,                0.52675,                0.84663,              0.0088021,              0.0088021,              0.0088021
                    124,                0.51872,                0.85376,                 0.9988,                0.75615,                0.61932,                0.67532,                0.64285,                0.28936,                0.52684,                0.84633,              0.0087922,              0.0087922,              0.0087922
                    125,                0.51935,                0.85501,                0.99796,                0.72919,                0.63944,                0.67512,                 0.6426,                0.28925,                0.52676,                0.84632,              0.0087823,              0.0087823,              0.0087823
                    126,                0.51869,                 0.8559,                0.99761,                0.72464,                 0.6398,                0.67635,                0.64427,                0.28938,                0.52567,                0.84633,              0.0087724,              0.0087724,              0.0087724
                    127,                 0.5178,                0.85215,                0.99858,                0.73626,                0.63462,                0.67851,                0.64621,                 0.2893,                 0.5255,                0.84611,              0.0087625,              0.0087625,              0.0087625
                    128,                0.51845,                0.85386,                0.99803,                0.73245,                0.63288,                0.67971,                0.64729,                0.28954,                0.52503,                0.84635,              0.0087526,              0.0087526,              0.0087526
                    129,                0.51984,                0.85419,                 1.0001,                0.73989,                0.62364,                0.67989,                 0.6473,                0.28965,                0.52482,                0.84655,              0.0087427,              0.0087427,              0.0087427
                    130,                0.51752,                0.85593,                0.99782,                0.74485,                0.62789,                0.67869,                0.64668,                0.28955,                0.52488,                0.84653,              0.0087328,              0.0087328,              0.0087328
                    131,                0.51933,                0.85283,                 0.9994,                0.71489,                0.64059,                 0.6781,                0.64592,                0.28954,                 0.5253,                0.84663,              0.0087229,              0.0087229,              0.0087229
                    132,                0.51981,                0.85287,                0.99992,                0.72083,                0.64252,                 0.6781,                0.64643,                0.28959,                0.52522,                0.84677,               0.008713,               0.008713,               0.008713
                    133,                0.51959,                0.85202,                0.99858,                0.71753,                0.64378,                0.67593,                0.64419,                0.28992,                0.52469,                0.84697,              0.0087031,              0.0087031,              0.0087031
                    134,                0.51698,                0.85005,                0.99735,                0.72188,                0.63554,                 0.6763,                 0.6448,                0.28972,                0.52372,                0.84689,              0.0086932,              0.0086932,              0.0086932
                    135,                0.51697,                0.85158,                0.99766,                0.70988,                0.64886,                0.67776,                0.64593,                0.28978,                0.52326,                0.84703,              0.0086833,              0.0086833,              0.0086833
                    136,                0.51928,                0.85282,                 0.9994,                0.71235,                0.64566,                0.67828,                0.64597,                 0.2899,                0.52309,                0.84716,              0.0086734,              0.0086734,              0.0086734
                    137,                0.51995,                  0.854,                0.99954,                0.71044,                0.64813,                0.67694,                0.64455,                0.29008,                  0.523,                0.84732,              0.0086635,              0.0086635,              0.0086635
                    138,                0.52122,                0.85587,                 1.0006,                 0.7163,                 0.6413,                0.67739,                0.64523,                0.29005,                0.52323,                0.84725,              0.0086536,              0.0086536,              0.0086536
                    139,                0.51598,                0.84672,                0.99704,                0.71228,                0.64256,                0.67653,                0.64403,                0.28978,                0.52341,                0.84714,              0.0086437,              0.0086437,              0.0086437
                    140,                 0.5192,                0.84525,                0.99926,                0.74157,                 0.6257,                0.67594,                0.64387,                0.28978,                 0.5236,                0.84716,              0.0086338,              0.0086338,              0.0086338
                    141,                0.51794,                0.85008,                0.99908,                0.70288,                0.65178,                0.67709,                0.64513,                0.28968,                0.52369,                0.84699,              0.0086239,              0.0086239,              0.0086239
                    142,                0.51965,                0.85111,                0.99962,                 0.7371,                0.62767,                0.67638,                0.64456,                0.28948,                0.52308,                0.84699,               0.008614,               0.008614,               0.008614
                    143,                0.51795,                0.84766,                0.99824,                0.73073,                0.62835,                0.67668,                0.64499,                0.28954,                0.52258,                0.84687,              0.0086041,              0.0086041,              0.0086041
                    144,                0.51751,                0.84909,                0.99891,                0.74291,                  0.625,                0.67562,                0.64424,                0.28936,                0.52289,                0.84685,              0.0085942,              0.0085942,              0.0085942
                    145,                0.51868,                0.84964,                0.99912,                0.72902,                0.63609,                0.67857,                0.64703,                0.28924,                0.52329,                0.84678,              0.0085843,              0.0085843,              0.0085843
                    146,                 0.5172,                0.84769,                0.99803,                0.73613,                  0.629,                0.67882,                0.64706,                0.28922,                0.52356,                0.84667,              0.0085744,              0.0085744,              0.0085744
                    147,                0.51771,                0.84476,                 0.9977,                0.73182,                0.63336,                0.68019,                0.64846,                 0.2895,                0.52326,                0.84677,              0.0085645,              0.0085645,              0.0085645
                    148,                0.51696,                0.84629,                0.99802,                0.74052,                0.62235,                0.67786,                0.64612,                0.28948,                0.52281,                0.84678,              0.0085546,              0.0085546,              0.0085546
                    149,                0.51858,                0.84797,                0.99984,                0.73333,                0.63422,                0.67709,                0.64485,                0.28973,                0.52227,                0.84707,              0.0085447,              0.0085447,              0.0085447
                    150,                0.51724,                0.84468,                0.99899,                0.71787,                0.63992,                0.67486,                0.64271,                0.28962,                0.52139,                0.84712,              0.0085348,              0.0085348,              0.0085348
                    151,                0.51466,                0.84371,                0.99673,                 0.7383,                0.62891,                0.67492,                0.64284,                0.28943,                 0.5218,                0.84695,              0.0085249,              0.0085249,              0.0085249
                    152,                0.51646,                0.84357,                0.99815,                0.73688,                0.62739,                0.67525,                0.64351,                0.28925,                0.52211,                0.84686,               0.008515,               0.008515,               0.008515
                    153,                0.51797,                0.84139,                0.99785,                 0.7374,                0.62736,                0.67534,                0.64393,                0.28918,                0.52151,                0.84691,              0.0085051,              0.0085051,              0.0085051
                    154,                0.51509,                0.84526,                0.99696,                0.72803,                0.63297,                0.67373,                0.64261,                0.28914,                0.52185,                0.84712,              0.0084952,              0.0084952,              0.0084952
                    155,                0.51692,                0.84293,                0.99718,                0.72794,                0.62922,                0.67344,                0.64224,                0.28903,                0.52235,                0.84699,              0.0084853,              0.0084853,              0.0084853
                    156,                0.51705,                0.84186,                0.99854,                0.73423,                0.63045,                0.67405,                0.64276,                0.28892,                 0.5229,                0.84683,              0.0084754,              0.0084754,              0.0084754
